year,revenue,gross_profit,operating_profit,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,operating_cash_flow,capex,free_cash_flow,backlog
2019,12872.206,4511.329,2482.059,1854.551,29239.134,11829.424,12663.034,6634.386,2529,2532,-3,11947
2020,16535.394,6151.986,3539.997,2960.235,38181.184,13572.675,23059.339,7920.344,3828,3031,797,15855
2021,22902.365,9387.289,5994.633,5097.311,55127.388,16369.926,21985.649,12984.594,4379,6936,-2557,29099
2022,39355.534,14578.383,10072.918,8813.713,73680.717,17763.654,23997.226,14499.362,10230,9966,264,32816
2023,40340.819,15409.432,11364.756,10690.153,73669.349,18151.904,30422.470,14756.296,12641,5517,7124,35242
